Period,Total tourists
1/1/2012,1764000
2/1/2012,1791000
3/1/2012,2197000
4/1/2012,3148000
5/1/2012,3629000
6/1/2012,3289000
7/1/2012,3522000
8/1/2012,3933000
9/1/2012,3082000
10/1/2012,2910000
11/1/2012,2187000
12/1/2012,1900000
1/1/2013,1690000
2/1/2013,1791000
3/1/2013,2243000
4/1/2013,2914000
5/1/2013,3796000
6/1/2013,3333000
7/1/2013,3737000
8/1/2013,4179000
9/1/2013,3157000
10/1/2013,2921000
11/1/2013,2278000
12/1/2013,2012000
1/1/2014,1826000
2/1/2014,1895000
3/1/2014,2410000
4/1/2014,3162000
5/1/2014,3626000
6/1/2014,3868000
7/1/2014,3700000
8/1/2014,4281000
9/1/2014,3368000
10/1/2014,3270000
11/1/2014,2331000
12/1/2014,2118000
1/1/2015,1889000
2/1/2015,2106000
3/1/2015,2373000
4/1/2015,3272000
5/1/2015,4036000
6/1/2015,3617000
7/1/2015,4079000
8/1/2015,4449000
9/1/2015,3316000
10/1/2015,3401000
11/1/2015,2522000
12/1/2015,2258000
1/1/2016,2048000
2/1/2016,2324000
3/1/2016,2704000
4/1/2016,3278000
5/1/2016,4165000
6/1/2016,3526000
7/1/2016,4085000
8/1/2016,4527000
9/1/2016,3675000
10/1/2016,3615000
11/1/2016,2571000
12/1/2016,2365000
1/1/2017,2352000
2/1/2017,2326000
3/1/2017,2849000
4/1/2017,3942000
5/1/2017,4215000
6/1/2017,4286000
7/1/2017,4414000
8/1/2017,4661000
9/1/2017,3837000
10/1/2017,3823000
11/1/2017,2818000
12/1/2017,2711000
1/1/2018,2504000
2/1/2018,2490000
3/1/2018,3133000
4/1/2018,3907000
5/1/2018,4567000
6/1/2018,4210000
7/1/2018,4546000
8/1/2018,4947000
9/1/2018,3991000
10/1/2018,3967000
11/1/2018,2959000
12/1/2018,2692000
1/1/2019,2458000
2/1/2019,2565000
3/1/2019,3289000
4/1/2019,4307000
5/1/2019,4193000
6/1/2019,4894000
7/1/2019,4704000
8/1/2019,5143000
9/1/2019,4165000
10/1/2019,4087000
11/1/2019,3194000
12/1/2019,2918000
1/1/2020,2800000
2/1/2020,2700000
3/1/2020,1500000
4/1/2020,500000
5/1/2020,600000
6/1/2020,800000
7/1/2020,1000000
8/1/2020,1200000
9/1/2020,1100000
10/1/2020,1300000
11/1/2020,1400000
12/1/2020,1500000
1/1/2021,1600000
2/1/2021,1500000
3/1/2021,1700000
4/1/2021,2000000
5/1/2021,2200000
6/1/2021,2100000
7/1/2021,2300000
8/1/2021,2500000
9/1/2021,2400000
10/1/2021,2600000
11/1/2021,2700000
12/1/2021,2800000
1/1/2022,2900000
2/1/2022,3000000
3/1/2022,3200000
4/1/2022,3500000
5/1/2022,3700000
6/1/2022,3600000
7/1/2022,3800000
8/1/2022,4000000
9/1/2022,3900000
10/1/2022,4100000
11/1/2022,4200000
12/1/2022,4300000
1/1/2023,4400000
2/1/2023,4500000
3/1/2023,4700000
4/1/2023,4900000
5/1/2023,5100000
6/1/2023,5000000
7/1/2023,5200000
8/1/2023,5400000
9/1/2023,5300000
10/1/2023,5500000
11/1/2023,5600000
12/1/2023,5700000
1/1/2024,5800000
2/1/2024,5900000
